dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,92,degree,5,2,3,Alanine,Pyroglutamic acid,264366.98342101823,1554.6039796194,262812.37944139884,0.9941195229468439,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,92,imputation,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,93,proposed,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,93,random,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,93,degree,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,93,imputation,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,94,proposed,5,2,3,Glutamine,Glutamine,292010.36679868936,292010.36679868936,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,94,random,5,2,3,Glutamine,Glutamine,292010.36679868936,292010.36679868936,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,94,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.36679868936,1554.5125272810426,290455.8542714083,0.9946765159596106,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,94,imputation,5,2,3,Glutamine,Glutamine,292010.36679868936,292010.36679868936,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,95,proposed,5,2,3,Glutamine,Glutamine,292010.6867983385,292010.6867983385,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,95,random,5,2,3,Glutamine,Asparagine,292010.6867983385,1719.3128075332966,290291.3739908052,0.9941121579268752,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,95,degree,5,2,3,Glutamine,Glutamine,292010.6867983385,292010.6867983385,0.0,0.0,1,1,1
